	             mean      deviation
k           3.6252437e+00  3.8824403e+00
eps         7.2846513e+00  3.9429768e+01
rho         5.1311094e-01  3.7668052e-01
T           3.3595562e-01  3.0638134e-01
Y-H2        5.8347631e-01  3.5670662e-01
Y-H         3.7103450e-01  3.0894017e-01
Y-O2        5.9608376e-01  3.5261032e-01
Y-O         3.8321263e-01  3.4216842e-01
Y-OH        4.0354919e-01  3.9179251e-01
Y-HO2       1.8154699e-01  1.7427495e-01
Y-H2O2      2.4754317e-01  2.0870759e-01
Y-H2O       4.2251977e-01  3.6618370e-01
Y-N         3.9109990e-02  9.0240709e-02
Y-NO2       2.9674899e-03  1.1170333e-02
Y-NO        9.6700415e-03  3.1015228e-02
omega-H2   -9.6881405e-02  1.1877157e-01
omega-H	    3.7893105e-02  9.3874559e-02
omega-O2   -1.0776450e-01  1.2495777e-01
omega-O	    5.3127341e-02  9.9932164e-02
omega-OH    1.4836282e-01  1.5906030e-01
omega-HO2  -8.7245012e-04  8.5390210e-02
omega-H2O2  4.2400366e-01  2.9010198e-01
omega-H2O   1.1047656e-01  1.2652482e-01
omega-N    -1.4325479e+00  3.0488064e+00
omega-NO2   1.0568998e+00  3.6967449e+00
omega-NO    6.1807860e-02  1.2779900e-01
